customer_id,customer_name,gender,age,city,state,signup_date
1,Sneha Das,Male,46,Mumbai,Maharashtra,2025-11-03
2,Vamsi Rao,Male,44,Bengaluru,Karnataka,2024-05-06
3,Shreya Nair,Male,36,Delhi,Delhi,2025-12-05
4,Divya Patel,Female,19,Mumbai,Maharashtra,2024-08-27
5,Harsha Gupta,Male,28,Vijayawada,Andhra Pradesh,2024-12-04
6,Sneha Singh,Male,39,Hyderabad,Telangana,2024-01-31
7,Meena Rao,Male,55,Vijayawada,Andhra Pradesh,2025-11-29
8,Rohit Das,Male,28,Hyderabad,Telangana,2024-04-01
9,Lakshmi Rao,Female,31,Kochi,Kerala,2025-11-02
10,Vamsi Verma,Female,25,Kochi,Kerala,2024-07-01
11,Arjun Singh,Female,46,Chennai,Tamil Nadu,2025-07-27
12,Sai Singh,Male,32,Hyderabad,Telangana,2024-09-30
13,Meena Sharma,Female,40,Bengaluru,Karnataka,2024-11-03
14,Rakesh Singh,Female,28,Hyderabad,Telangana,2024-08-12
15,Rakesh Patel,Male,55,Pune,Maharashtra,2024-04-23
16,Vikram Reddy,Female,39,Delhi,Delhi,2025-04-19
17,Sneha Patel,Male,52,Delhi,Delhi,2025-06-16
18,Nikhil Singh,Female,19,Vijayawada,Andhra Pradesh,2025-07-07
19,Keerthi Singh,Male,54,Chennai,Tamil Nadu,2024-01-11
20,Rakesh Rao,Male,24,Pune,Maharashtra,2024-01-14
21,Arjun Gupta,Male,42,Delhi,Delhi,2024-04-25
22,Lakshmi Sharma,Male,58,Kochi,Kerala,2025-03-06
23,Rohit Reddy,Female,42,Kochi,Kerala,2025-02-22
24,Vamsi Singh,Female,25,Mumbai,Maharashtra,2025-03-16
25,Sai Das,Male,47,Vijayawada,Andhra Pradesh,2024-12-22
26,Kiran Reddy,Female,44,Bengaluru,Karnataka,2025-05-18
27,Kiran Nair,Male,53,Bengaluru,Karnataka,2024-02-24
28,Shreya Verma,Male,25,Pune,Maharashtra,2024-01-10
29,Harsha Singh,Male,25,Vijayawada,Andhra Pradesh,2024-06-01
30,Vikram Patel,Male,43,Vijayawada,Andhra Pradesh,2024-04-21
31,Shreya Gupta,Male,53,Delhi,Delhi,2024-06-09
32,Kiran Kumar,Female,33,Mumbai,Maharashtra,2025-11-25
33,Arjun Singh,Male,18,Hyderabad,Telangana,2025-08-19
34,Priya Rao,Male,46,Vijayawada,Andhra Pradesh,2025-08-18
35,Deepika Reddy,Female,50,Chennai,Tamil Nadu,2024-12-12
36,Nikhil Gupta,Male,48,Kochi,Kerala,2025-04-25
37,Rakesh Gupta,Male,40,Kochi,Kerala,2025-12-20
38,Keerthi Das,Male,19,Chennai,Tamil Nadu,2025-04-11
39,Sai Sharma,Female,49,Delhi,Delhi,2025-11-10
40,Vamsi Singh,Female,28,Bengaluru,Karnataka,2025-02-23
41,Sai Das,Female,23,Bengaluru,Karnataka,2024-03-04
42,Tejas Reddy,Female,52,Vijayawada,Andhra Pradesh,2024-12-29
43,Rohit Reddy,Male,19,Vijayawada,Andhra Pradesh,2024-12-28
44,Sai Patel,Male,30,Chennai,Tamil Nadu,2025-10-20
45,Sneha Kumar,Male,48,Hyderabad,Telangana,2025-05-16
46,Kiran Sharma,Female,19,Bengaluru,Karnataka,2025-12-24
47,Deepika Verma,Male,40,Mumbai,Maharashtra,2024-07-02
